playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Andrej Nestrasil,78,79,6.9,7.3,83.1,75,Detroit Red Wings,Andrej Nestrasil (F),2009,0,https://www.eliteprospects.com/player/19353/andrej-nestrasil,-,-,1991-02-22,"6'3""",91 kg / 201,"Praha, CZE",Czechia,L,2009 round 3 #75 overall by Detroit Red Wings,Praha, ,16.4
Andrew Campbell,68,64,5.0,6.0,77.2,74,Los Angeles Kings,Andrew Campbell (D),2008,1,https://www.eliteprospects.com/player/19222/andrew-campbell,-,-,1988-02-04,"6'4""",93 kg / 205,"Caledonia, ON, CAN",Canada,L,2008 round 3 #74 overall by Los Angeles Kings,Caledonia, ,19.4
Andrew Conboy,56,105,7.2,10.5,153.8,142,Montréal Canadiens,Andrew Conboy (F),2007,0,https://www.eliteprospects.com/player/14390/andrew-conboy,-,-,1988-05-16,"6'3""",86 kg / 190,"Burnsville, MN, USA",USA,L,2007 round 5 #142 overall by Montréal Canadiens,Burnsville, ,19.1
Andrew Copp,38,12,4.1,8.8,25.9,104,Winnipeg Jets,Andrew Copp (F),2013,0,https://www.eliteprospects.com/player/101962/andrew-copp,Detroit Red Wings,Signed,1994-07-08,"6'1""",93 kg / 205,"Ann Arbor, MI, USA",USA,L,2013 round 4 #104 overall by Winnipeg Jets,Ann Arbor, ,13.0
Andrew Fritsch,60,18,9.0,12.3,24.6,155,Phoenix Coyotes,Andrew Fritsch (F),2011,0,https://www.eliteprospects.com/player/45594/andrew-fritsch,-,-,1993-03-24,"6'0""",86 kg / 190,"Brantford, ON, CAN",Canada,R,2011 round 6 #155 overall by Phoenix Coyotes,Brantford, ,14.3
Andrew MacWilliam,54,130,0.8,1.2,197.4,188,Toronto Maple Leafs,Andrew MacWilliam (D),2008,1,https://www.eliteprospects.com/player/19165/andrew-macwilliam,-,-,1990-03-25,"6'2""",101 kg / 223,"Calgary, AB, CAN",Canada,L,2008 round 7 #188 overall by Toronto Maple Leafs,Calgary, ,17.3
Andrew Mangiapane,68,54,15.0,18.1,65.1,166,Calgary Flames,Andrew Mangiapane (F),2015,0,https://www.eliteprospects.com/player/223199/andrew-mangiapane,Calgary Flames,Signed,1996-04-04,"5'10""",83 kg / 183,"Bolton, ON, CAN",Canada,L,2015 round 6 #166 overall by Calgary Flames,Bolton, ,11.2
Andrew Nielsen,59,101,3.4,4.7,140.4,65,Toronto Maple Leafs,Andrew Nielsen (D),2015,1,https://www.eliteprospects.com/player/131262/andrew-nielsen,-,-,1996-11-13,"6'4""",102 kg / 225,"Red Deer, AB, CAN",Canada,L,2015 round 3 #65 overall by Toronto Maple Leafs,Red Deer, ,10.6
Andrew O'Brien,68,95,3.3,4.0,114.6,108,Anaheim Ducks,Andrew O'Brien (D),2012,1,https://www.eliteprospects.com/player/76156/andrew-o-brien,-,-,1992-11-21,"6'4""",100 kg / 220,"Hamilton, ON, CAN",Canada,L,2012 round 4 #108 overall by Anaheim Ducks,Hamilton, ,14.6
Andrew Shaw,66,135,7.8,9.7,167.7,139,Chicago Blackhawks,Andrew Shaw (F),2011,0,https://www.eliteprospects.com/player/37671/andrew-shaw,-,-,1991-07-20,"5'11""",83 kg / 183,"Belleville, ON, CAN",Canada,R,2011 round 5 #139 overall by Chicago Blackhawks,Belleville, ,15.9
Andrew Yogan,63,97,7.9,10.3,126.3,100,New York Rangers,Andrew Yogan (F),2010,0,https://www.eliteprospects.com/player/13839/andrew-yogan,-,-,1991-12-04,"6'3""",93 kg / 205,"Coconut Creek, FL, USA",USA,L,2010 round 4 #100 overall by New York Rangers,Coconut Creek, ,15.6
André Burakovsky,85,52,5.7,5.5,50.2,23,Washington Capitals,André Burakovsky (F),2013,0,https://www.eliteprospects.com/player/38705/andre-burakovsky,Seattle Kraken,Signed,1995-02-09,"6'2""",91 kg / 201,"Klagenfurt, AUT",Sweden,L,2013 round 1 #23 overall by Washington Capitals,Klagenfurt, ,12.4
André Petersson,60,46,5.0,6.8,62.9,109,Ottawa Senators,André Petersson (F),2008,0,https://www.eliteprospects.com/player/7039/andre-petersson,-,-,1990-09-11,"5'10""",79 kg / 174,"Olofström, SWE",Sweden,R,2008 round 4 #109 overall by Ottawa Senators,Olofström, ,16.8
Andy Andreoff,66,109,10.8,13.4,135.4,80,Los Angeles Kings,Andy Andreoff (F),2011,0,https://www.eliteprospects.com/player/32736/andy-andreoff,New York Islanders,Signed,1991-05-17,"6'2""",91 kg / 201,"Pickering, ON, CAN",Canada,L,2011 round 3 #80 overall by Los Angeles Kings,Pickering, ,16.1
Andy Bathgate,44,10,2.3,4.3,18.6,151,Pittsburgh Penguins,Andy Bathgate (F),2009,0,https://www.eliteprospects.com/player/33614/andy-bathgate,-,-,1991-02-26,"6'0""",74 kg / 163,"Brampton, ON, CAN",Canada,L,2009 round 5 #151 overall by Pittsburgh Penguins,Brampton, ,16.3
Andy Welinski,51,14,2.0,3.2,22.5,83,Anaheim Ducks,Andy Welinski (D),2011,1,https://www.eliteprospects.com/player/75052/andy-welinski,New York Rangers,Signed,1993-04-27,"6'1""",91 kg / 201,"Duluth, MN, USA",USA,R,2011 round 3 #83 overall by Anaheim Ducks,Duluth, ,14.2
Angelo Esposito,66,63,9.700000000000001,12.1,78.3,20,Pittsburgh Penguins,Angelo Esposito (F),2007,0,https://www.eliteprospects.com/player/10436/angelo-esposito,-,-,1989-02-20,"6'1""",82 kg / 181,"Montréal, QC, CAN",Canada,L,2007 round 1 #20 overall by Pittsburgh Penguins,Montréal, ,18.4
Anthony Angello,58,85,3.0,4.2,120.2,145,Pittsburgh Penguins,Anthony Angello (F),2014,0,https://www.eliteprospects.com/player/178527/anthony-angello,St. Louis Blues,Signed,1996-03-06,"6'5""",95 kg / 209,"Albany, NY, USA",USA,R,2014 round 5 #145 overall by Pittsburgh Penguins,Albany, ,11.3
Anthony Beauvillier,73,74,11.0,12.4,83.1,28,New York Islanders,Anthony Beauvillier (F),2015,0,https://www.eliteprospects.com/player/213435/anthony-beauvillier,New York Islanders,Signed,1997-06-08,"5'11""",82 kg / 181,"Sorel, QC, CAN",Canada,L,2015 round 1 #28 overall by New York Islanders,Sorel, ,10.1
Anthony Bitetto,58,99,5.7,8.1,140.0,168,Nashville Predators,Anthony Bitetto (D),2010,1,https://www.eliteprospects.com/player/37758/anthony-bitetto,Florida Panthers,Signed,1990-07-15,"6'1""",101 kg / 223,"Island Park, NY, USA",USA,L,2010 round 6 #168 overall by Nashville Predators,Island Park, ,17.0
Anthony Camara,64,132,2.4,3.1,169.1,81,Boston Bruins,Anthony Camara (F),2011,0,https://www.eliteprospects.com/player/45561/anthony-camara,-,-,1993-09-04,"6'0""",89 kg / 196,"Toronto, ON, CAN",Canada,L,2011 round 3 #81 overall by Boston Bruins,Toronto, ,13.8
Anthony Cirelli,68,22,5.2,6.3,26.5,72,Tampa Bay Lightning,Anthony Cirelli (F),2015,0,https://www.eliteprospects.com/player/274875/anthony-cirelli,Tampa Bay Lightning,Signed,1997-07-15,"6'0""",87 kg / 192,"Woodbridge, ON, CAN",Canada,L,2015 round 3 #72 overall by Tampa Bay Lightning,Woodbridge, ,10.0
Anthony Duclair,55,22,5.6,8.3,32.8,80,New York Rangers,Anthony Duclair (F),2013,0,https://www.eliteprospects.com/player/98665/anthony-duclair,Florida Panthers,Signed,1995-08-26,"5'11""",89 kg / 196,"Pointe-Claire, QC, CAN",Canada,L,2013 round 3 #80 overall by New York Rangers,Pointe-Claire, ,11.8
Anthony Florentino,62,68,2.2,2.9,89.9,143,Buffalo Sabres,Anthony Florentino (D),2013,1,https://www.eliteprospects.com/player/131905/anthony-florentino,-,-,1995-01-30,"6'0""",94 kg / 207,"West Roxbury, MA, USA",USA,R,2013 round 5 #143 overall by Buffalo Sabres,West Roxbury, ,12.4
Anthony Hamburg,46,38,2.2,3.9,67.7,193,Minnesota Wild,Anthony Hamburg (F),2009,0,https://www.eliteprospects.com/player/40885/anthony-hamburg,-,-,1991-08-30,"6'1""",84 kg / 185,"Houston, TX, USA",USA,R,2009 round 7 #193 overall by Minnesota Wild,Houston, ,15.8
Anthony Louis,93,32,10.3,9.1,28.2,181,Chicago Blackhawks,Anthony Louis (F),2013,0,https://www.eliteprospects.com/player/151833/anthony-louis,-,-,1995-02-10,"5'9""",70 kg / 154,"Winfield, IL, USA",USA,L,2013 round 6 #181 overall by Chicago Blackhawks,Winfield, ,12.4
Anthony Mantha,67,71,10.1,12.4,86.9,20,Detroit Red Wings,Anthony Mantha (F),2013,0,https://www.eliteprospects.com/player/104045/anthony-mantha,Washington Capitals,Signed,1994-09-16,"6'5""",106 kg / 234,"Longueuil, QC, CAN",Canada,L,2013 round 1 #20 overall by Detroit Red Wings,Longueuil, ,12.8
Anthony Nigro,67,65,6.9,8.4,79.6,155,St. Louis Blues,Anthony Nigro (F),2008,0,https://www.eliteprospects.com/player/11241/anthony-nigro,-,-,1990-01-11,"6'0""",88 kg / 194,"Vaughan, ON, CAN",Canada,L,2008 round 6 #155 overall by St. Louis Blues,Vaughan, ,17.5
Anthony Peluso,52,176,1.4,2.2,277.5,160,St. Louis Blues,Anthony Peluso (F),2007,0,https://www.eliteprospects.com/player/15038/anthony-peluso,-,-,1989-04-18,"6'3""",102 kg / 225,"North York, ON, CAN",Canada,R,2007 round 6 #160 overall by St. Louis Blues,North York, ,18.2
Anthony Richard,66,78,10.3,12.8,96.9,100,Nashville Predators,Anthony Richard (F),2015,0,https://www.eliteprospects.com/player/155661/anthony-richard,Montréal Canadiens,Signed,1996-12-20,"5'10""",84 kg / 185,"Trois-Rivieres, QC, CAN",Canada,L,2015 round 4 #100 overall by Nashville Predators,Trois-Rivieres, ,10.5
Anton Blidh,75,100,2.8000000000000003,3.1,109.3,180,Boston Bruins,Anton Blidh (F),2013,0,https://www.eliteprospects.com/player/67179/anton-blidh,Colorado Avalanche,Signed,1995-03-14,"6'1""",86 kg / 190,"Mölnlycke, SWE",Sweden,L,2013 round 6 #180 overall by Boston Bruins,Mölnlycke, ,12.3
Anton Blomqvist,48,87,2.6,4.4,148.6,167,Columbus Blue Jackets,Anton Blomqvist (D),2009,1,https://www.eliteprospects.com/player/7234/anton-blomqvist,-,-,1990-03-07,"6'6""",93 kg / 205,"Kristianstad, SWE",Sweden,L,2009 round 6 #167 overall by Columbus Blue Jackets,Kristianstad, ,17.3
Anton Cederholm,71,94,1.2,1.4,108.6,145,Vancouver Canucks,Anton Cederholm (D),2013,1,https://www.eliteprospects.com/player/38743/anton-cederholm,-,-,1995-02-21,"6'2""",93 kg / 205,"Helsingborg, SWE",Sweden,L,2013 round 5 #145 overall by Vancouver Canucks,Helsingborg, ,12.4
Anton Gustafsson,39,67,2.9,6.1,140.9,21,Washington Capitals,Anton Gustafsson (D),2008,1,https://www.eliteprospects.com/player/6058/anton-gustafsson,-,-,1990-02-25,"6'2""",95 kg / 209,"Karlskoga, SWE",Sweden,L,2008 round 1 #21 overall by Washington Capitals,Karlskoga, ,17.3
Anton Karlsson,86,124,2.4,2.3,118.2,87,Arizona Coyotes,Anton Karlsson (F),2014,0,https://www.eliteprospects.com/player/88845/anton-karlsson,-,-,1996-08-03,"6'1""",85 kg / 187,"Lerum, SWE",Sweden,L,2014 round 3 #87 overall by Arizona Coyotes,Lerum, ,10.9
Anton Klementyev,69,68,2.4,2.9,80.8,122,New York Islanders,Anton Klementyev (D),2009,1,https://www.eliteprospects.com/player/17575/anton-klementyev,-,-,1990-03-25,"6'0""",94 kg / 207,"Togliatti, RUS",Russia,R,2009 round 5 #122 overall by New York Islanders,Togliatti, ,17.3
Anton Lander,85,74,7.4,7.1,71.4,40,Edmonton Oilers,Anton Lander (F),2009,0,https://www.eliteprospects.com/player/6016/anton-lander,-,-,1991-04-24,"6'0""",87 kg / 192,"Sundsvall, SWE",Sweden,L,2009 round 2 #40 overall by Edmonton Oilers,Sundsvall, ,16.2
Anton Lindholm,55,65,0.6,0.9,96.9,144,Colorado Avalanche,Anton Lindholm (D),2014,1,https://www.eliteprospects.com/player/39019/anton-lindholm,-,-,1994-11-29,"5'11""",87 kg / 192,"Skellefteå, SWE",Sweden,L,2014 round 5 #144 overall by Colorado Avalanche,Skellefteå, ,12.6
Anton Rödin,51,42,5.0,8.0,67.5,53,Vancouver Canucks,Anton Rödin (F),2009,0,https://www.eliteprospects.com/player/7084/anton-rodin,-,-,1990-11-21,"6'0""",84 kg / 185,"Stockholm, SWE",Sweden,L,2009 round 2 #53 overall by Vancouver Canucks,Stockholm, ,16.6
Anton Slepyshev,33,8,7.199999999999999,17.9,19.9,88,Edmonton Oilers,Anton Slepyshev (F),2013,0,https://www.eliteprospects.com/player/117748/anton-slepyshev,-,-,1994-05-13,"6'2""",96 kg / 212,"Penza, RUS",Russia,R,2013 round 3 #88 overall by Edmonton Oilers,Penza, ,13.1
Anton Zlobin,66,50,8.6,10.7,62.1,173,Pittsburgh Penguins,Anton Zlobin (F),2012,0,https://www.eliteprospects.com/player/58562/anton-zlobin,-,-,1993-02-22,"5'11""",90 kg / 198,"Moskva, RUS",Russia,R,2012 round 6 #173 overall by Pittsburgh Penguins,Moskva, ,14.4
Artturi Lehkonen,77,50,15.5,16.5,53.2,55,Montréal Canadiens,Artturi Lehkonen (F),2013,0,https://www.eliteprospects.com/player/43584/artturi-lehkonen,Colorado Avalanche,Signed,1995-07-04,"5'11""",81 kg / 179,"Piikkiö, FIN",Finland,L,2013 round 2 #55 overall by Montréal Canadiens,Piikkiö, ,12.0
Artur Gavrus,50,22,5.3,8.7,36.1,180,New Jersey Devils,Artur Gavrus (F),2012,0,https://www.eliteprospects.com/player/70442/artur-gavrus,-,-,1994-01-03,"5'10""",87 kg / 192,"Ratichi, BLR",Belarus,L,2012 round 6 #180 overall by New Jersey Devils,Ratichi, ,13.5
Ashton Bernard,53,111,0.5,0.8,171.7,174,New Jersey Devils,Ashton Bernard (F),2009,0,https://www.eliteprospects.com/player/18872/ashton-bernard,-,-,1990-02-05,"6'4""",89 kg / 196,"Eskasoni, NS, CAN",Canada,L,2009 round 6 #174 overall by New Jersey Devils,Eskasoni, ,17.4
Austen Brassard,74,80,5.0,5.5,88.6,149,Winnipeg Jets,Austen Brassard (F),2011,0,https://www.eliteprospects.com/player/45539/austen-brassard,-,-,1993-01-14,"6'2""",88 kg / 194,"Toronto, ON, CAN",Canada,R,2011 round 5 #149 overall by Winnipeg Jets,Toronto, ,14.5
Austin Carroll,70,114,8.0,9.4,133.5,184,Calgary Flames,Austin Carroll (F),2014,0,https://www.eliteprospects.com/player/93438/austin-carroll,-,-,1994-03-26,"6'3""",96 kg / 212,"Phoenix, AZ, USA",Canada,R,2014 round 7 #184 overall by Calgary Flames,Phoenix, ,13.3
Austin Levi,68,116,1.7,2.0,139.9,85,Carolina Hurricanes,Austin Levi (D),2010,1,https://www.eliteprospects.com/player/33650/austin-levi,-,-,1992-02-16,"6'3""",84 kg / 185,"Columbus, OH, USA",USA,L,2010 round 3 #85 overall by Carolina Hurricanes,Columbus, ,15.4
Austin Madaisky,65,74,3.8,4.8,93.4,124,Columbus Blue Jackets,Austin Madaisky (D),2010,1,https://www.eliteprospects.com/player/33548/austin-madaisky,-,-,1992-01-30,"6'1""",84 kg / 185,"Surrey, BC, CAN",Canada,R,2010 round 5 #124 overall by Columbus Blue Jackets,Surrey, ,15.4
Austin Poganski,55,57,4.4,6.6,85.0,110,St. Louis Blues,Austin Poganski (F),2014,0,https://www.eliteprospects.com/player/231724/austin-poganski,Seattle Kraken,Signed,1996-02-16,"6'2""",91 kg / 201,"St. Cloud, MN, USA",USA,R,2014 round 4 #110 overall by St. Louis Blues,St. Cloud, ,11.4
Austin Wagner,61,53,5.5,7.4,71.2,99,Los Angeles Kings,Austin Wagner (F),2015,0,https://www.eliteprospects.com/player/161117/austin-wagner,Los Angeles Kings,Signed,1997-06-23,"6'1""",88 kg / 194,"Calgary, AB, CAN",Canada,L,2015 round 4 #99 overall by Los Angeles Kings,Calgary, ,10.0
Austin Watson,68,88,8.9,10.7,106.1,18,Nashville Predators,Austin Watson (F),2010,0,https://www.eliteprospects.com/player/33753/austin-watson,Ottawa Senators,Signed,1992-01-13,"6'4""",93 kg / 205,"Ann Arbor, MI, USA",USA,R,2010 round 1 #18 overall by Nashville Predators,Ann Arbor, ,15.5
Austin Wuthrich,36,34,3.3,7.5,77.4,107,Washington Capitals,Austin Wuthrich (F),2012,0,https://www.eliteprospects.com/player/58561/austin-wuthrich,-,-,1993-08-11,"6'1""",93 kg / 205,"Bakersfield, CA, USA",USA,R,2012 round 4 #107 overall by Washington Capitals,Bakersfield, ,13.9
Avery Peterson,52,28,2.3,3.6,44.2,167,Minnesota Wild,Avery Peterson (F),2013,0,https://www.eliteprospects.com/player/147618/avery-peterson,-,-,1995-06-20,"6'3""",95 kg / 209,"Grand Rapids, MN, USA",USA,L,2013 round 6 #167 overall by Minnesota Wild,Grand Rapids, ,12.0
Axel Holmström,61,22,5.0,6.7,29.6,196,Detroit Red Wings,Axel Holmström (F),2014,0,https://www.eliteprospects.com/player/86320/axel-holmstrom,-,-,1996-06-29,"6'1""",96 kg / 212,"Arvidsjaur, SWE",Sweden,L,2014 round 7 #196 overall by Detroit Red Wings,Arvidsjaur, ,11.0
Barron Smith,34,57,0.3,0.7,137.5,188,Toronto Maple Leafs,Barron Smith (D),2009,1,https://www.eliteprospects.com/player/31574/barron-smith,-,-,1991-04-02,"6'5""",93 kg / 205,"Hinsdale, IL, USA",USA,R,2009 round 7 #188 overall by Toronto Maple Leafs,Hinsdale, ,16.2
Beau Bennett,56,20,9.6,14.1,29.3,20,Pittsburgh Penguins,Beau Bennett (F),2010,0,https://www.eliteprospects.com/player/46980/beau-bennett,-,-,1991-11-27,"6'2""",88 kg / 194,"Gardena, CA, USA",USA,R,2010 round 1 #20 overall by Pittsburgh Penguins,Gardena, ,15.6
Beau Starrett,48,94,2.2,3.8,160.6,88,Chicago Blackhawks,Beau Starrett (F),2014,0,https://www.eliteprospects.com/player/252369/beau-starrett,-,-,1995-11-01,"6'5""",96 kg / 212,"Bellingham, MA, USA",USA,L,2014 round 3 #88 overall by Chicago Blackhawks,Bellingham, ,11.7
Ben Betker,68,100,0.8,1.0,120.6,158,Edmonton Oilers,Ben Betker (D),2013,1,https://www.eliteprospects.com/player/102378/ben-betker,-,-,1994-09-29,"6'6""",103 kg / 227,"Cranbrook, BC, CAN",Canada,L,2013 round 6 #158 overall by Edmonton Oilers,Cranbrook, ,12.8
Ben Blood,63,144,1.0,1.3,187.4,120,Ottawa Senators,Ben Blood (D),2007,1,https://www.eliteprospects.com/player/14382/ben-blood,-,-,1989-03-15,"6'4""",103 kg / 227,"Plymouth, MN, USA",USA,L,2007 round 4 #120 overall by Ottawa Senators,Plymouth, ,18.3
Ben Chiarot,67,111,1.7,2.1,135.9,120,Atlanta Thrashers,Ben Chiarot (D),2009,1,https://www.eliteprospects.com/player/33875/ben-chiarot,Detroit Red Wings,Signed,1991-05-09,"6'3""",106 kg / 234,"Hamilton, ON, CAN",Canada,L,2009 round 4 #120 overall by Atlanta Thrashers,Hamilton, ,16.1
Ben Hanowski,31,16,3.2,8.5,42.3,63,Pittsburgh Penguins,Ben Hanowski (F),2009,0,https://www.eliteprospects.com/player/38066/ben-hanowski,-,-,1990-10-18,"6'2""",95 kg / 209,"Little Falls, MN, USA",USA,L,2009 round 3 #63 overall by Pittsburgh Penguins,Little Falls, ,16.7
Ben Harpur,67,59,2.2,2.7,72.2,108,Ottawa Senators,Ben Harpur (D),2013,1,https://www.eliteprospects.com/player/144069/ben-harpur,New York Rangers,Signed,1995-01-12,"6'6""",105 kg / 231,"Hamilton, ON, CAN",Canada,L,2013 round 4 #108 overall by Ottawa Senators,Hamilton, ,12.5
Ben Hutton,57,31,2.1,3.0,44.6,147,Vancouver Canucks,Ben Hutton (D),2012,1,https://www.eliteprospects.com/player/78150/ben-hutton,Vegas Golden Knights,Signed,1993-04-20,"6'2""",94 kg / 207,"Brockville, ON, CAN",Canada,L,2012 round 5 #147 overall by Vancouver Canucks,Brockville, ,14.2
Ben Johnson,68,44,5.5,6.6,53.1,90,New Jersey Devils,Ben Johnson (F),2012,0,https://www.eliteprospects.com/player/94248/ben-johnson,-,-,1994-06-07,"6'0""",86 kg / 190,"Calumet, MI, USA",USA,L,2012 round 3 #90 overall by New Jersey Devils,Calumet, ,13.1
Ben Marshall,38,56,1.3,2.8,120.8,201,Detroit Red Wings,Ben Marshall (D),2010,1,https://www.eliteprospects.com/player/40255/ben-marshall,-,-,1992-08-30,"5'9""",73 kg / 161,"St. Paul, MN, USA",USA,L,2010 round 7 #201 overall by Detroit Red Wings,St. Paul, ,14.8
Ben Ryan,59,66,9.2,12.8,91.7,114,Nashville Predators,Ben Ryan (F),2007,0,https://www.eliteprospects.com/player/12558/ben-ryan,-,-,1988-10-16,"5'11""",86 kg / 190,"Brighton, MI, USA",USA,R,2007 round 4 #114 overall by Nashville Predators,Brighton, ,18.7
Ben Sexton,38,54,1.7,3.7,116.5,206,Boston Bruins,Ben Sexton (F),2009,0,https://www.eliteprospects.com/player/33901/ben-sexton,-,-,1991-06-06,"5'11""",89 kg / 196,"Ottawa, ON, CAN",Canada,R,2009 round 7 #206 overall by Boston Bruins,Ottawa, ,16.1
Ben Smith,44,12,9.7,18.1,22.4,169,Chicago Blackhawks,Ben Smith (F),2008,0,https://www.eliteprospects.com/player/15068/ben-smith,-,-,1988-07-11,"5'11""",92 kg / 203,"Winston-Salem, NC, USA",USA,R,2008 round 6 #169 overall by Chicago Blackhawks,Winston-Salem, ,19.0
Ben Storm,52,82,1.7,2.7,129.3,153,Colorado Avalanche,Ben Storm (F),2013,0,https://www.eliteprospects.com/player/195149/ben-storm,-,-,1994-03-30,"6'6""",100 kg / 220,"Laurium, MI, USA",USA,L,2013 round 6 #153 overall by Colorado Avalanche,Laurium, ,13.3
Ben Thomas,79,41,4.5,4.7,42.6,119,Tampa Bay Lightning,Ben Thomas (D),2014,1,https://www.eliteprospects.com/player/62287/ben-thomas,-,-,1996-05-28,"6'1""",85 kg / 187,"Calgary, AB, CAN",Canada,R,2014 round 4 #119 overall by Tampa Bay Lightning,Calgary, ,11.1
Ben Thomson,67,137,6.0,7.3,167.7,96,New Jersey Devils,Ben Thomson (F),2012,0,https://www.eliteprospects.com/player/44664/ben-thomson,-,-,1993-01-16,"6'3""",98 kg / 216,"Orangeville, ON, CAN",Canada,L,2012 round 4 #96 overall by New Jersey Devils,Orangeville, ,14.5
Ben Winnett,39,58,4.6,9.7,121.9,104,Toronto Maple Leafs,Ben Winnett (F),2007,0,https://www.eliteprospects.com/player/12537/ben-winnett,-,-,1989-04-03,"5'11""",78 kg / 172,"New Westminster, BC, CAN",Canada,R,2007 round 4 #104 overall by Toronto Maple Leafs,New Westminster, ,18.2
Benjamin Casavant,68,49,9.0,10.9,59.1,205,Washington Capitals,Benjamin Casavant (F),2009,0,https://www.eliteprospects.com/player/32873/benjamin-casavant,-,-,1991-01-21,"6'1""",100 kg / 220,"Saint-Hyacinthe, QC, CAN",Canada,L,2009 round 7 #205 overall by Washington Capitals,Saint-Hyacinthe, ,16.4
Benjamin Gallacher,34,61,1.4,3.4,147.1,93,Florida Panthers,Benjamin Gallacher (D),2010,1,https://www.eliteprospects.com/player/39631/benjamin-gallacher,-,-,1992-09-11,"5'11""",87 kg / 192,"Calgary, AB, CAN",Canada,L,2010 round 4 #93 overall by Florida Panthers,Calgary, ,14.8
Bill Arnold,96,76,9.9,8.5,64.9,108,Calgary Flames,Bill Arnold (F),2010,0,https://www.eliteprospects.com/player/40260/bill-arnold,-,-,1992-05-13,"6'0""",88 kg / 194,"Needham, MA, USA",USA,R,2010 round 4 #108 overall by Calgary Flames,Needham, ,15.1
Bill Sweatt,37,18,5.5,12.2,39.9,38,Chicago Blackhawks,Bill Sweatt (F),2007,0,https://www.eliteprospects.com/player/9322/bill-sweatt,-,-,1988-09-21,"6'0""",90 kg / 198,"Elburn, IL, USA",USA,L,2007 round 2 #38 overall by Chicago Blackhawks,Elburn, ,18.8
Blaine Byron,51,24,2.5,4.0,38.6,179,Pittsburgh Penguins,Blaine Byron (F),2013,0,https://www.eliteprospects.com/player/117940/blaine-byron,-,-,1995-02-21,"6'0""",78 kg / 172,"Manotick, ON, CAN",Canada,L,2013 round 6 #179 overall by Pittsburgh Penguins,Manotick, ,12.4
Blake Coleman,59,72,13.2,18.3,100.1,75,New Jersey Devils,Blake Coleman (F),2011,0,https://www.eliteprospects.com/player/46889/blake-coleman,Calgary Flames,Signed,1991-11-28,"5'11""",94 kg / 207,"Plano, TX, USA",USA,L,2011 round 3 #75 overall by New Jersey Devils,Plano, ,15.6
Blake Heinrich,42,110,2.9,5.7,214.8,144,Washington Capitals,Blake Heinrich (D),2013,1,https://www.eliteprospects.com/player/118645/blake-heinrich,-,-,1995-02-17,"5'11""",93 kg / 205,"Cambridge, MN, USA",USA,L,2013 round 5 #144 overall by Washington Capitals,Cambridge, ,12.4
